iter	Passed	Remaining
0	3	3359
1	6	3228
2	9	3060
3	12	3006
4	15	2986
5	17	2968
6	20	2968
7	23	2949
8	26	2962
9	29	2959
10	32	2942
11	35	2941
12	38	2925
13	41	2937
14	44	2935
15	47	2917
16	50	2916
17	53	2914
18	56	2898
19	58	2887
20	61	2875
21	64	2862
22	67	2864
23	70	2857
24	73	2850
25	76	2851
26	79	2851
27	82	2857
28	85	2855
29	87	2844
30	90	2842
31	93	2843
32	97	2844
33	100	2850
34	103	2861
35	106	2853
36	109	2850
37	112	2850
38	115	2849
39	118	2844
40	121	2839
41	124	2831
42	126	2824
43	129	2813
44	132	2810
45	135	2804
46	137	2794
47	140	2786
48	143	2777
49	146	2776
50	148	2768
51	151	2764
52	154	2755
53	156	2747
54	159	2738
55	162	2733
56	164	2726
57	167	2723
58	170	2719
59	173	2717
60	176	2715
61	179	2713
62	182	2709
63	184	2704
64	187	2700
65	190	2694
66	193	2692
67	196	2690
68	199	2691
69	202	2685
70	204	2681
71	207	2674
72	210	2674
73	213	2673
74	216	2671
75	219	2666
76	222	2665
77	225	2661
78	227	2657
79	230	2653
80	233	2649
81	236	2646
82	239	2643
83	242	2641
84	245	2638
85	248	2635
86	250	2632
87	253	2631
88	256	2628
89	259	2625
90	262	2622
91	265	2619
92	268	2616
93	271	2612
94	274	2615
95	277	2614
96	280	2612
97	283	2608
98	286	2605
99	288	2600
100	291	2595
101	294	2592
102	297	2590
103	300	2588
104	303	2586
105	306	2583
106	309	2578
107	311	2576
108	314	2570
109	317	2567
110	319	2561
111	322	2557
112	325	2552
113	327	2547
114	330	2543
115	333	2539
116	336	2536
117	339	2535
118	342	2534
119	345	2532
120	349	2537
121	352	2535
122	354	2530
123	357	2527
124	360	2524
125	363	2522
126	366	2517
127	369	2516
128	372	2513
129	375	2510
130	378	2508
131	381	2505
132	383	2502
133	386	2499
134	389	2496
135	392	2495
136	395	2492
137	398	2488
138	401	2485
139	403	2481
140	406	2478
141	409	2475
142	412	2470
143	414	2465
144	417	2461
145	419	2456
146	422	2451
147	424	2445
148	427	2440
149	429	2436
150	432	2432
151	435	2429
152	438	2426
153	441	2422
154	443	2418
155	446	2415
156	449	2411
157	451	2408
158	454	2404
159	457	2399
